code,lon,lat,name,city
CYKG,-71.929444,61.588611,Kangiqsujuaq Wakeham Bay,Kangiqsujuaq
CYAH,-73.675278,53.754722,La Grande-4,La Grande-4
CYMT,-74.528055,49.771945,Chibougamau/Chapais,Chibougamau
CYRJ,-72.265555,48.52,Roberval,Roberval
CYQB,-71.393333,46.791111,Quebec/Lesage Intl,Quebec
CYUL,-73.741389,45.468056,Montreal/Pierre-Elliott-Trudeau,Montreal
CYHU,-73.416945,45.5175,Montreal/St-Hubert,St-Hubert
CYMX,-74.038611,45.6795,Montreal Intl (Mirabel),Montreal
CYRQ,-72.679444,46.352778,Trois-Rivieres,Trois-Rivieres
CYSC,-71.690556,45.438056,Sherbrooke,Sherbrooke
KMSS,-74.845556,44.935834,Massena Intl-Richards,Massena
KSLK,-74.206194,44.385306,Adirondack Regl,Saranac Lake
KPBG,-73.468139,44.650944,Plattsburgh Intl,Plattsburgh
KBTV,-73.153278,44.471861,Burlington Intl,Burlington
KFSO,-73.097464,44.940292,Franklin Co State,Highgate
KMVL,-72.614006,44.534608,Morrisville Stowe State,Morrisville
KEFK,-72.229158,44.888797,Newport State,Newport
KHIE,-71.544472,44.367617,Mt Washington Regl,Whitefield
KMPV,-72.562331,44.203506,Knapp State,Barre-Montpelier
KLEB,-72.304194,43.626111,Lebanon Mun,Lebanon
KDDH,-73.246417,42.891333,Morse State,Bennington
KGFL,-73.610305,43.341222,Bennett Meml,Glens Falls
KALB,-73.801692,42.748267,Albany Intl,Albany
KSCH,-73.928867,42.852455,Schenectady Co,Schenectady
KPSF,-73.292928,42.426847,Pittsfield Mun,Pittsfield
KAQW,-73.170383,42.695914,Harriman And West,North Adams
KEEN,-72.27078,42.8984,Dillant-Hopkins,Keene
KRUT,-72.949614,43.529908,Rutland State,Rutland
KVSF,-72.517314,43.343631,Hartness State,Springfield
KMHT,-71.435667,42.932556,Manchester,Manchester
KCON,-71.502286,43.202734,Concord Mun,Concord
KLCI,-71.4189,43.572728,Laconia Mun,Laconia
KORE,-72.288611,42.570128,Orange Mun,Orange
KCEF,-72.534783,42.194014,Westover ARB/Metro,Springfield/Chicopee
KBED,-71.289031,42.469953,Hanscom,Bedford
KASH,-71.514778,42.78175,Boire,Nashua
KAFN,-72.003025,42.805139,Jaffrey Airport-Silver Ranch,Jaffrey
KFIT,-71.758972,42.554111,Fitchburg Mun,Fitchburg
KORH,-71.875708,42.267339,Worcester Regl,Worcester
KMSV,-74.795014,41.70165,Sullivan Co Intl,Monticello
KMGJ,-74.26465,41.509983,Orange Co,Montgomery
KSWF,-74.104839,41.504095,Stewart Intl,Newburgh
KPOU,-73.884111,41.626611,Dutchess Co,Poughkeepsie
KMMU,-74.414875,40.79935,Morristown Mun,Morristown
KFWN,-74.62305,41.200206,Sussex,Sussex
KCDW,-74.281355,40.875222,Essex Co,Caldwell
KBDR,-73.126167,41.163472,Sikorsky Meml,Bridgeport
KTEB,-74.060836,40.850103,Teterboro,Teterboro
KHPN,-73.707575,41.066958,Westchester Co,White Plains
KDXR,-73.482192,41.371536,Danbury Mun,Danbury
KOXC,-73.13525,41.478556,Waterbury-Oxford,Oxford
KHFD,-72.649444,41.736722,Hartford-Brainard,Hartford
KMMK,-72.829489,41.508708,Meriden Markham Mun,Meriden
KBDL,-72.683222,41.938889,Bradley Intl,Windsor Locks
KBAF,-72.715619,42.15773,Barnes Mun,Westfield/Springfield
KIJD,-72.180236,41.744042,Windham,Willimantic
KOQU,-71.412153,41.597153,Quonset State,North Kingstown
KPVD,-71.428194,41.724,Green State,Providence
KSFZ,-71.49138,41.920764,North Central State,Pawtucket
KUUU,-71.28155,41.532436,Newport State,Newport
KSNC,-72.505894,41.383905,Chester,Chester
KFOK,-72.631789,40.843656,Gabreski,Westhampton Beach
KHTO,-72.25185,40.959578,East Hampton,East Hampton
KHVN,-72.886794,41.263764,Tweed-New Haven,New Haven
KHWV,-72.866917,40.821944,Brookhaven,Shirley
KISP,-73.100211,40.795242,Long Island MacArthur,Islip
KMTP,-71.920472,41.076667,Montauk,Montauk
KBID,-71.577833,41.168111,Block Island State,Block Island
KGON,-72.045139,41.330056,Groton-New London,Groton/New London
KWST,-71.803378,41.349617,Westerly State,Westerly
KSMQ,-74.670244,40.625992,Somerset,Somerville
KTTN,-74.813469,40.276692,Trenton Mercer,Trenton
KBLM,-74.124886,40.186919,Monmouth Executive,Belmar-Farmingdale
KLDJ,-74.244594,40.617447,Linden,Linden
KEWR,-74.168661,40.692497,Newark Liberty Intl,Newark
